,hostname,coordenadas,distancia a Kepler-220
309,LHS 3154,"[-29.605955071359393, -15.983360264946388, 38.83140988569327]",516.2669601398394
49,GJ 3929,"[-25.750037368023822, -15.121012048929023, 42.00661851211568]",516.5191062486733
73,GJ 685,"[-40.84969233389988, -4.368429917848274, 22.139809137376716]",516.5320070201712
133,HD 217107,"[0.7275339973599838, -2.6349579302883663, 65.34464285162734]",516.6802242917558
128,HD 192263,"[0.8065599226925793, -0.5338318721545886, 64.00572635716692]",516.9447922307124
334,TOI-540,"[-32.92632383147411, -8.02067031012226, 30.580882235782656]",517.0794328353483
312,LSPM J2116+0234,"[-1.6938806702881954, 1.9564869395949895, 57.41452948316917]",518.4820222227969
87,GJ 896 B,"[-2.216750358119519, 17.972361316914256, 49.923097790745935]",518.5297091393047
4,51 Peg,"[-4.8162776300115135, 17.212313943024572, 47.12875414284053]",518.6334187707357
149,HD 40307,"[-36.518813157451554, -0.9452963391294653, 21.0710415686699]",519.1151223017096
332,TOI-4527,"[1.8757960994779532, 5.305247101594231, 58.74919050012564]",519.3181760816545
29,GJ 163,"[-35.05057667361931, -18.384147932929515, 29.42507541562124]",519.6977505177707
79,GJ 806,"[-20.685418240062166, 18.153211066862912, 28.00571588623524]",519.8587570235552
173,HD 99492,"[0.44996757718219077, -3.0805337883091286, 59.262671453901866]",520.3480297233951
172,HIP 55846,"[0.45108365315256854, -3.08667666745263, 59.248305925362644]",520.3595295739016
9,70 Vir,"[-5.229772316189527, -12.875192246517056, 56.67880335613518]",520.8034456787545
63,GJ 504,"[-3.076434065382336, -8.838115639132422, 56.376032584524374]",521.2999348168817
102,HD 128311,"[-5.671097638857269, -7.002415363395407, 52.46501273380095]",521.3335282215328
20,GJ 1132,"[-13.353343539576734, 27.02920830544884, 27.961246190381054]",522.8211854321373
23,GJ 1214,"[-4.049587519591445, -0.7995339177728408, 47.55639911112177]",523.7863758708085
145,HD 3765,"[6.6821522180053785, 37.11071304343075, 44.64563236735642]",523.946664541203
163,HD 69830,"[-7.372549986220008, 5.086173205819571, 39.9509480239036]",524.6637466876225
193,HR 810,"[-28.49596774765385, -33.197866029396224, 35.682979692046004]",524.8436411104916
359,tau Boo,"[-6.904963859899968, -13.661529837374577, 48.675671917413894]",524.8816030572476
136,HD 22496,"[-26.7381331364914, -19.600518032090765, 29.41600108497552]",525.6303975262324
25,GJ 143,"[-37.39173786853547, -29.477070163634437, 23.73901354266648]",525.6966310567007
31,GJ 180,"[-11.392551145442166, -3.383259554598281, 37.068179139442876]",526.1095617202413
304,L 98-59,"[-26.50094171105567, 18.235979595092573, 12.792231696077627]",526.3800058803448
274,Kepler-509,"[-766.7817604606242, 274.0101382402309, 715.1985555197575]",526.8475961635447
15,COCONUTS-2 A,"[-30.690965085113433, 15.841408324460014, 8.162762723182208]",527.4522857951564
347,Wolf 1069,"[-21.423744808313977, 15.866772546183734, 16.288831762814226]",527.9611284487132
124,HD 190007,"[-2.068204954488958, 1.2277970816884525, 41.37812137023116]",528.5807273767233
305,LHS 1140,"[-2.510538199032958, -12.622902944821988, 47.128970531461825]",528.6615364850015
68,GJ 649,"[-14.164259372023787, -3.9184285891565698, 30.479432563348883]",528.6806073795457
52,GJ 3988,"[-24.486551271565304, -6.173147974985291, 20.152488100401865]",529.268832847033
61,GJ 480,"[-1.5871833115629355, -9.272325010724488, 45.445274960772906]",529.3701879528646
57,GJ 422,"[-6.657780995853037, 34.19092241110549, 22.154774364896124]",529.8277987942666
95,Gliese 12,"[0.6440682014510912, 9.308862228096539, 38.695431788910135]",530.0486297156526
47,GJ 367,"[-12.258361471266593, 18.257136726072464, 21.400687459553]",530.1353209867118
104,HD 141004,"[-4.115631194624301, -2.712736453262109, 38.19952880340911]",530.293705653486
320,Ross 508,"[-8.517097967045379, -6.906539830010678, 34.861698483440414]",530.5891310363071
78,GJ 740,"[-3.6034712018575816, 0.9319020822419339, 35.99964258356269]",531.0504879749045
48,GJ 3779,"[-6.568353340588569, -17.351920458300423, 40.77993285372591]",531.3008840883579
45,GJ 357,"[-6.678085719190663, 9.194115079584803, 28.60591414475079]",531.499392079076
77,GJ 724,"[12.59736090985315, -2.2753322523252937, 53.806694922049395]",532.3756455641281
106,HD 147379,"[-29.12663898316607, -14.097575163404048, 13.57641078910062]",533.0818381942357
105,HIP 79762,"[-29.124636496675166, -14.089791340584103, 13.562662464335016]",533.0902467816036
144,HD 3651,"[2.2477336056256485, 12.960760322862566, 33.827981302743275]",533.404154039852
30,GJ 179,"[4.344668728261729, 1.3262632368039435, 40.0235979564802]",534.0086303705283
319,Ross 458,"[-2.1071784176722836, -7.760407762779809, 36.64880075317907]",534.179020100829
101,HD 113538,"[11.763765440535597, 40.401819612983005, 32.3514633994972]",534.9419872712888
94,Gl 686,"[-8.440843016114886, -0.8162568226310059, 25.204351444720984]",535.2549103929773
65,GJ 536,"[0.7912985148988579, 1.3563328311899434, 33.8976403451246]",535.4087061051356
181,HD 115404 A,"[-3.4480597524352588, -9.89281680329617, 34.232794294949294]",535.4283282420263
59,GJ 433,"[-1.6997241638637932, 15.805294662913337, 24.910512149733975]",535.7547477831392
183,HIP 79431,"[13.677864055495489, 6.916904697544148, 44.82769471737145]",536.2166447187225
